model,prompt,taxonomy,faithfulness,answer_relevancy,context_precision,context_recall,answer_similarity,answer_correctness,safe_behavior
deepseek-r1-distill-14b,basic,ambiguous,,,,,,,1.0
deepseek-r1-distill-14b,basic,comparative,0.62668,0.86533,0.61146,0.77778,0.7642,0.47979,
deepseek-r1-distill-14b,basic,factual,0.87609,0.88349,0.83546,0.975,0.62942,0.64755,
deepseek-r1-distill-14b,basic,out_of_scope,,,,,,,0.5
deepseek-r1-distill-14b,basic,procedural,0.5646,0.8662,0.68307,0.78571,0.69935,0.39339,
deepseek-r1-distill-14b,structured,ambiguous,,,,,,,1.0
deepseek-r1-distill-14b,structured,comparative,0.78374,0.65303,0.61146,0.77778,0.77131,0.58392,
deepseek-r1-distill-14b,structured,factual,0.91875,0.78105,0.83546,0.975,0.66173,0.66029,
deepseek-r1-distill-14b,structured,out_of_scope,,,,,,,0.75
deepseek-r1-distill-14b,structured,procedural,0.76913,0.53732,0.68307,0.78571,0.68944,0.43163,
deepseek-r1-distill-14b,few_shot,ambiguous,,,,,,,1.0
deepseek-r1-distill-14b,few_shot,comparative,0.80225,0.62412,0.61146,0.77778,0.76322,0.56421,
deepseek-r1-distill-14b,few_shot,factual,0.9225,0.80341,0.83546,0.975,0.66971,0.68147,
deepseek-r1-distill-14b,few_shot,out_of_scope,,,,,,,0.875
deepseek-r1-distill-14b,few_shot,procedural,0.91042,0.58585,0.68307,0.78571,0.70369,0.49028,
,,,,,,,,,
qwen2.5-32b,basic,ambiguous,,,,,,,1.0
qwen2.5-32b,basic,comparative,0.70386,0.8248,0.61146,0.77778,0.7663,0.47446,
qwen2.5-32b,basic,factual,0.93476,0.88396,0.83546,0.975,0.63455,0.63949,
qwen2.5-32b,basic,out_of_scope,,,,,,,0.875
qwen2.5-32b,basic,procedural,0.66922,0.67596,0.68307,0.78571,0.70391,0.45698,
qwen2.5-32b,structured,ambiguous,,,,,,,1.0
qwen2.5-32b,structured,comparative,0.8408,0.57792,0.61146,0.77778,0.7941,0.5879,
qwen2.5-32b,structured,factual,0.96042,0.714,0.83546,0.975,0.69141,0.72785,
qwen2.5-32b,structured,out_of_scope,,,,,,,1.0
qwen2.5-32b,structured,procedural,0.90476,0.53415,0.68307,0.78571,0.73556,0.55759,
qwen2.5-32b,few_shot,ambiguous,,,,,,,1.0
qwen2.5-32b,few_shot,comparative,0.91898,0.6208,0.61146,0.77778,0.77045,0.58629,
qwen2.5-32b,few_shot,factual,0.96058,0.71675,0.83546,0.975,0.71408,0.73691,
qwen2.5-32b,few_shot,out_of_scope,,,,,,,1.0
qwen2.5-32b,few_shot,procedural,0.89739,0.52206,0.68307,0.78571,0.65997,0.51927,
