Model,Taxonomy,faithfulness,answer_relevancy,context_precision,context_recall,answer_similarity,answer_correctness,safe_behavior
deepseek_r1_distill_qwen_14b_MQ,ambiguous,,,,,,,1.0
deepseek_r1_distill_qwen_14b_MQ,comparative,0.85209,0.68176,0.58611,0.73611,0.77901,0.54861,
deepseek_r1_distill_qwen_14b_MQ,factual,0.97949,0.81443,0.7631,0.975,0.65037,0.66503,
deepseek_r1_distill_qwen_14b_MQ,out_of_scope,,,,,,,0.75
deepseek_r1_distill_qwen_14b_MQ,procedural,0.7995,0.72184,0.64067,0.78571,0.70643,0.48036,
,,,,,,,,
deepseek_r1_distill_qwen_14b_NO_MQ,ambiguous,,,,,,,1.0
deepseek_r1_distill_qwen_14b_NO_MQ,comparative,0.78374,0.65303,0.61146,0.77778,0.77131,0.58392,
deepseek_r1_distill_qwen_14b_NO_MQ,factual,0.91875,0.78105,0.83546,0.975,0.66173,0.66029,
deepseek_r1_distill_qwen_14b_NO_MQ,out_of_scope,,,,,,,0.75
deepseek_r1_distill_qwen_14b_NO_MQ,procedural,0.76913,0.53732,0.68307,0.78571,0.68944,0.43163,
,,,,,,,,
mistral_3_14b_MQ,ambiguous,,,,,,,1.0
mistral_3_14b_MQ,comparative,0.78165,0.65125,0.56632,0.77778,0.73276,0.49986,
mistral_3_14b_MQ,factual,0.91266,0.66437,0.70817,0.95,0.70722,0.68385,
mistral_3_14b_MQ,out_of_scope,,,,,,,1.0
mistral_3_14b_MQ,procedural,0.78035,0.54277,0.62302,0.7381,0.7141,0.47477,
,,,,,,,,
mistral_3_14b_NO_MQ,ambiguous,,,,,,,1.0
mistral_3_14b_NO_MQ,comparative,0.7777,0.70456,0.61146,0.77778,0.75088,0.55118,
mistral_3_14b_NO_MQ,factual,0.90438,0.68179,0.83546,0.975,0.69896,0.67286,
mistral_3_14b_NO_MQ,out_of_scope,,,,,,,1.0
mistral_3_14b_NO_MQ,procedural,0.75397,0.60591,0.68307,0.78571,0.68917,0.49156,
,,,,,,,,
nemotron3nano_MQ,ambiguous,,,,,,,0.85714
nemotron3nano_MQ,comparative,0.79625,0.63949,0.6478,0.81944,0.75864,0.5676,
nemotron3nano_MQ,factual,0.91174,0.45463,0.69147,0.95,0.67008,0.66574,
nemotron3nano_MQ,out_of_scope,,,,,,,1.0
nemotron3nano_MQ,procedural,0.84882,0.53022,0.67163,0.78571,0.66018,0.5033,
,,,,,,,,
nemotron3nano_NO_MQ,ambiguous,,,,,,,1.0
nemotron3nano_NO_MQ,comparative,0.82269,0.63576,0.61146,0.77778,0.76275,0.5898,
nemotron3nano_NO_MQ,factual,0.90566,0.52137,0.83546,0.975,0.65699,0.63847,
nemotron3nano_NO_MQ,out_of_scope,,,,,,,1.0
nemotron3nano_NO_MQ,procedural,0.78778,0.54858,0.68307,0.78571,0.70338,0.54954,
,,,,,,,,
qwen2.5_32b_MQ,ambiguous,,,,,,,1.0
qwen2.5_32b_MQ,comparative,0.84694,0.63644,0.58062,0.77778,0.77774,0.5612,
qwen2.5_32b_MQ,factual,0.96875,0.74867,0.73403,0.975,0.7055,0.7362,
qwen2.5_32b_MQ,out_of_scope,,,,,,,1.0
qwen2.5_32b_MQ,procedural,0.9375,0.48801,0.62725,0.7381,0.71559,0.50936,
,,,,,,,,
qwen2.5_32b_NO_MQ,ambiguous,,,,,,,1.0
qwen2.5_32b_NO_MQ,comparative,0.8408,0.57792,0.61146,0.77778,0.7941,0.5879,
qwen2.5_32b_NO_MQ,factual,0.96042,0.714,0.83546,0.975,0.69141,0.72785,
qwen2.5_32b_NO_MQ,out_of_scope,,,,,,,1.0
qwen2.5_32b_NO_MQ,procedural,0.90476,0.53415,0.68307,0.78571,0.73556,0.55759,
,,,,,,,,
qwen3.14b_NO_MQ,ambiguous,,,,,,,1.0
qwen3.14b_NO_MQ,comparative,0.88727,0.56966,0.61146,0.77778,0.77836,0.54096,
qwen3.14b_NO_MQ,factual,0.96595,0.64957,0.83546,0.975,0.66073,0.66061,
qwen3.14b_NO_MQ,out_of_scope,,,,,,,0.625
qwen3.14b_NO_MQ,procedural,0.85883,0.48142,0.67381,0.78571,0.66317,0.48257,
,,,,,,,,
qwen3_6_27b_MQ,ambiguous,,,,,,,1.0
qwen3_6_27b_MQ,comparative,0.91196,0.46974,0.60556,0.77778,0.75377,0.54623,
qwen3_6_27b_MQ,factual,0.99792,0.69658,0.7448,0.975,0.6743,0.659,
qwen3_6_27b_MQ,out_of_scope,,,,,,,1.0
qwen3_6_27b_MQ,procedural,0.89841,0.34419,0.66058,0.79524,0.71664,0.53528,
,,,,,,,,
qwen3_6_27b_NO_MQ,ambiguous,,,,,,,1.0
qwen3_6_27b_NO_MQ,comparative,0.85353,0.50617,0.61146,0.77778,0.76246,0.53638,
qwen3_6_27b_NO_MQ,factual,0.99773,0.68337,0.83546,0.975,0.68264,0.685,
qwen3_6_27b_NO_MQ,out_of_scope,,,,,,,1.0
qwen3_6_27b_NO_MQ,procedural,0.91058,0.34393,0.68307,0.78571,0.72275,0.56073,
