model,taxonomy,faithfulness,answer_relevancy,context_precision,context_recall,answer_similarity,answer_correctness,safe_behavior
deepseek-r1-distill-14b,ambiguous,,,,,,,1.0
deepseek-r1-distill-14b,comparative,0.80225,0.62412,0.61146,0.77778,0.76322,0.56421,
deepseek-r1-distill-14b,factual,0.9225,0.80341,0.83546,0.975,0.66971,0.68147,
deepseek-r1-distill-14b,out_of_scope,,,,,,,0.875
deepseek-r1-distill-14b,procedural,0.91042,0.58585,0.68307,0.78571,0.70369,0.49028,
,,,,,,,,
mistral-3-14b-reasoning,ambiguous,,,,,,,1.0
mistral-3-14b-reasoning,comparative,0.84704,0.56057,0.61146,0.77778,0.7575,0.54545,
mistral-3-14b-reasoning,factual,0.94873,0.66361,0.84865,0.975,0.68585,0.66602,
mistral-3-14b-reasoning,out_of_scope,,,,,,,1.0
mistral-3-14b-reasoning,procedural,0.90897,0.57838,0.6791,0.78571,0.69775,0.45124,
,,,,,,,,
mistral-3-14b-instruct,ambiguous,,,,,,,1.0
mistral-3-14b-instruct,comparative,0.82337,0.59531,0.61146,0.77778,0.73809,0.53334,
mistral-3-14b-instruct,factual,0.9057,0.69405,0.84865,0.975,0.6586,0.60524,
mistral-3-14b-instruct,out_of_scope,,,,,,,1.0
mistral-3-14b-instruct,procedural,0.85295,0.48371,0.6791,0.78571,0.69387,0.49117,
,,,,,,,,
nemotron3nano,ambiguous,,,,,,,0.85714
nemotron3nano,comparative,0.7536,0.626,0.61146,0.77778,0.74648,0.60117,
nemotron3nano,factual,0.95,0.55724,0.84865,0.975,0.69379,0.70446,
nemotron3nano,out_of_scope,,,,,,,1.0
nemotron3nano,procedural,0.89949,0.4121,0.6791,0.78571,0.63999,0.47237,
,,,,,,,,
qwen-2.5-32b,ambiguous,,,,,,,1.0
qwen-2.5-32b,comparative,0.91898,0.6208,0.61146,0.77778,0.77045,0.58629,
qwen-2.5-32b,factual,0.96058,0.71675,0.83546,0.975,0.71408,0.73691,
qwen-2.5-32b,out_of_scope,,,,,,,1.0
qwen-2.5-32b,procedural,0.89739,0.52206,0.68307,0.78571,0.65997,0.51927,
,,,,,,,,
qwen-3.6-27b,ambiguous,,,,,,,1.0
qwen-3.6-27b,comparative,0.9057,0.46727,0.61146,0.77778,0.7451,0.54692,
qwen-3.6-27b,factual,0.97436,0.65276,0.84865,0.975,0.68653,0.71423,
qwen-3.6-27b,out_of_scope,,,,,,,1.0
qwen-3.6-27b,procedural,1.0,0.32783,0.6791,0.78571,0.70528,0.51071,
,,,,,,,,
gemma-3-12b,ambiguous,,,,,,,1.0
gemma-3-12b,comparative,0.96696,0.60856,0.61146,0.77778,0.75249,0.59367,
gemma-3-12b,factual,0.91875,0.63332,0.84865,0.975,0.70048,0.68443,
gemma-3-12b,out_of_scope,,,,,,,1.0
gemma-3-12b,procedural,0.93968,0.45413,0.6791,0.78571,0.66872,0.5415,
,,,,,,,,
llama-3.1-8b-instruct,ambiguous,,,,,,,1.0
llama-3.1-8b-instruct,comparative,0.73463,0.64962,0.61146,0.77778,0.76936,0.47538,
llama-3.1-8b-instruct,factual,0.87143,0.86187,0.84865,0.975,0.66001,0.68017,
llama-3.1-8b-instruct,out_of_scope,,,,,,,1.0
llama-3.1-8b-instruct,procedural,0.85908,0.59668,0.6791,0.78571,0.68319,0.45637,
